,Medoid 1,M1 Latitude,M1 Longitude,Medoid 2,M2 Latitude,M2 Longitude,Travel Distance,Travel Duration,Travel Duration (h),Travel Duration (min)
0,0.0,29.508894374132208,-98.4996922777378,1.0,29.79082550352515,-95.41019179432881,320.542,3 hours 3 mins,3 hours 3 mins,182.56666666666666
1,0.0,29.508894374132208,-98.4996922777378,2.0,32.831894691486745,-96.99418974431894,455.182,4 hours 18 mins,4 hours 18 mins,257.55
2,0.0,29.508894374132208,-98.4996922777378,3.0,31.77175939649847,-106.337967556246,868.83,7 hours 39 mins,7 hours 39 mins,458.8666666666667
3,0.0,29.508894374132208,-98.4996922777378,4.0,33.594407000000004,-101.870871,617.147,5 hours 52 mins,5 hours 52 mins,351.56666666666666
4,0.0,29.508894374132208,-98.4996922777378,5.0,27.517706,-99.503801,262.516,2 hours 28 mins,2 hours 28 mins,148.3
5,0.0,29.508894374132208,-98.4996922777378,6.0,26.192287175485774,-98.13502520451428,393.55,3 hours 40 mins,3 hours 40 mins,219.81666666666666
6,0.0,29.508894374132208,-98.4996922777378,7.0,32.332685,-95.271942,492.426,5 hours 8 mins,5 hours 8 mins,308.26666666666665
7,0.0,29.508894374132208,-98.4996922777378,8.0,27.779742027986497,-97.42065149668173,241.773,2 hours 14 mins,2 hours 14 mins,134.36666666666667
8,0.0,29.508894374132208,-98.4996922777378,9.0,30.516177455463207,-97.68930103107948,151.19,1 hour 34 mins,1 hour 34 mins,93.83333333333333
9,0.0,29.508894374132208,-98.4996922777378,10.0,32.027118276455134,-102.08244084375302,519.625,4 hours 56 mins,4 hours 56 mins,295.8333333333333
10,0.0,29.508894374132208,-98.4996922777378,11.0,32.396858061746585,-99.76444396654499,384.565,3 hours 50 mins,3 hours 50 mins,230.36666666666667
11,1.0,29.79082550352515,-95.41019179432881,2.0,32.831894691486745,-96.99418974431894,406.978,3 hours 45 mins,3 hours 45 mins,224.51666666666668
12,1.0,29.79082550352515,-95.41019179432881,3.0,31.77175939649847,-106.337967556246,1180.756,10 hours 29 mins,10 hours 29 mins,628.9833333333333
13,1.0,29.79082550352515,-95.41019179432881,4.0,33.594407000000004,-101.870871,839.865,8 hours 8 mins,8 hours 8 mins,488.43333333333334
14,1.0,29.79082550352515,-95.41019179432881,5.0,27.517706,-99.503801,557.825,5 hours 4 mins,5 hours 4 mins,304.35
15,1.0,29.79082550352515,-95.41019179432881,6.0,26.192287175485774,-98.13502520451428,557.783,5 hours 15 mins,5 hours 15 mins,315.0833333333333
16,1.0,29.79082550352515,-95.41019179432881,7.0,32.332685,-95.271942,319.306,3 hours 27 mins,3 hours 27 mins,206.93333333333334
17,1.0,29.79082550352515,-95.41019179432881,8.0,27.779742027986497,-97.42065149668173,339.115,3 hours 18 mins,3 hours 18 mins,197.7
18,1.0,29.79082550352515,-95.41019179432881,9.0,30.516177455463207,-97.68930103107948,262.663,2 hours 40 mins,2 hours 40 mins,160.06666666666666
19,1.0,29.79082550352515,-95.41019179432881,10.0,32.027118276455134,-102.08244084375302,766.135,7 hours 34 mins,7 hours 34 mins,454.25
20,1.0,29.79082550352515,-95.41019179432881,11.0,32.396858061746585,-99.76444396654499,570.998,5 hours 44 mins,5 hours 44 mins,343.73333333333335
21,2.0,32.831894691486745,-96.99418974431894,3.0,31.77175939649847,-106.337967556246,995.806,8 hours 53 mins,8 hours 53 mins,533.3333333333334
22,2.0,32.831894691486745,-96.99418974431894,4.0,33.594407000000004,-101.870871,546.552,5 hours 0 mins,5 hours 0 mins,300.28333333333336
23,2.0,32.831894691486745,-96.99418974431894,5.0,27.517706,-99.503801,709.533,6 hours 31 mins,6 hours 31 mins,391.31666666666666
24,2.0,32.831894691486745,-96.99418974431894,6.0,26.192287175485774,-98.13502520451428,833.96,7 hours 39 mins,7 hours 39 mins,459.21666666666664
25,2.0,32.831894691486745,-96.99418974431894,7.0,32.332685,-95.271942,189.057,1 hour 55 mins,1 hour 55 mins,115.13333333333334
26,2.0,32.831894691486745,-96.99418974431894,8.0,27.779742027986497,-97.42065149668173,682.184,6 hours 14 mins,6 hours 14 mins,373.76666666666665
27,2.0,32.831894691486745,-96.99418974431894,9.0,30.516177455463207,-97.68930103107948,304.073,2 hours 51 mins,2 hours 51 mins,170.7
28,2.0,32.831894691486745,-96.99418974431894,10.0,32.027118276455134,-102.08244084375302,521.734,4 hours 45 mins,4 hours 45 mins,284.6
29,2.0,32.831894691486745,-96.99418974431894,11.0,32.396858061746585,-99.76444396654499,286.15,2 hours 40 mins,2 hours 40 mins,160.36666666666667
30,3.0,31.77175939649847,-106.337967556246,4.0,33.594407000000004,-101.870871,537.369,5 hours 18 mins,5 hours 18 mins,318.1166666666667
31,3.0,31.77175939649847,-106.337967556246,5.0,27.517706,-99.503801,958.628,9 hours 8 mins,9 hours 8 mins,547.8666666666667
32,3.0,31.77175939649847,-106.337967556246,6.0,26.192287175485774,-98.13502520451428,1258.318,11 hours 6 mins,11 hours 6 mins,666.3333333333334
33,3.0,31.77175939649847,-106.337967556246,7.0,32.332685,-95.271942,1175.416,10 hours 33 mins,10 hours 33 mins,632.6333333333333
34,3.0,31.77175939649847,-106.337967556246,8.0,27.779742027986497,-97.42065149668173,1106.542,9 hours 41 mins,9 hours 41 mins,580.8833333333333
35,3.0,31.77175939649847,-106.337967556246,9.0,30.516177455463207,-97.68930103107948,928.923,8 hours 34 mins,8 hours 34 mins,514.0
36,3.0,31.77175939649847,-106.337967556246,10.0,32.027118276455134,-102.08244084375302,482.11,4 hours 26 mins,4 hours 26 mins,266.05
37,3.0,31.77175939649847,-106.337967556246,11.0,32.396858061746585,-99.76444396654499,717.785,6 hours 25 mins,6 hours 25 mins,384.71666666666664
38,4.0,33.594407000000004,-101.870871,5.0,27.517706,-99.503801,834.868,7 hours 57 mins,7 hours 57 mins,477.0833333333333
39,4.0,33.594407000000004,-101.870871,6.0,26.192287175485774,-98.13502520451428,1010.675,9 hours 19 mins,9 hours 19 mins,559.2833333333333
40,4.0,33.594407000000004,-101.870871,7.0,32.332685,-95.271942,725.793,6 hours 38 mins,6 hours 38 mins,398.0
41,4.0,33.594407000000004,-101.870871,8.0,27.779742027986497,-97.42065149668173,858.899,7 hours 54 mins,7 hours 54 mins,473.8333333333333
42,4.0,33.594407000000004,-101.870871,9.0,30.516177455463207,-97.68930103107948,584.446,5 hours 45 mins,5 hours 45 mins,344.9166666666667
43,4.0,33.594407000000004,-101.870871,10.0,32.027118276455134,-102.08244084375302,188.538,1 hour 48 mins,1 hour 48 mins,107.98333333333333
44,4.0,33.594407000000004,-101.870871,11.0,32.396858061746585,-99.76444396654499,268.161,2 hours 30 mins,2 hours 30 mins,150.08333333333334
45,5.0,27.517706,-99.503801,6.0,26.192287175485774,-98.13502520451428,268.674,2 hours 44 mins,2 hours 44 mins,163.61666666666667
46,5.0,27.517706,-99.503801,7.0,32.332685,-95.271942,747.73,7 hours 25 mins,7 hours 25 mins,444.8666666666667
47,5.0,27.517706,-99.503801,8.0,27.779742027986497,-97.42065149668173,227.354,2 hours 29 mins,2 hours 29 mins,149.25
48,5.0,27.517706,-99.503801,9.0,30.516177455463207,-97.68930103107948,406.493,3 hours 50 mins,3 hours 50 mins,230.41666666666666
49,5.0,27.517706,-99.503801,10.0,32.027118276455134,-102.08244084375302,677.861,6 hours 46 mins,6 hours 46 mins,406.46666666666664
50,5.0,27.517706,-99.503801,11.0,32.396858061746585,-99.76444396654499,638.58,6 hours 6 mins,6 hours 6 mins,365.85
51,6.0,26.192287175485774,-98.13502520451428,7.0,32.332685,-95.271942,871.914,8 hours 33 mins,8 hours 33 mins,513.0
52,6.0,26.192287175485774,-98.13502520451428,8.0,27.779742027986497,-97.42065149668173,242.789,2 hours 26 mins,2 hours 26 mins,145.71666666666667
53,6.0,26.192287175485774,-98.13502520451428,9.0,30.516177455463207,-97.68930103107948,530.677,4 hours 59 mins,4 hours 59 mins,298.56666666666666
54,6.0,26.192287175485774,-98.13502520451428,10.0,32.027118276455134,-102.08244084375302,909.555,8 hours 27 mins,8 hours 27 mins,506.68333333333334
55,6.0,26.192287175485774,-98.13502520451428,11.0,32.396858061746585,-99.76444396654499,774.495,7 hours 21 mins,7 hours 21 mins,441.21666666666664
56,7.0,32.332685,-95.271942,8.0,27.779742027986497,-97.42065149668173,657.297,6 hours 33 mins,6 hours 33 mins,393.1666666666667
57,7.0,32.332685,-95.271942,9.0,30.516177455463207,-97.68930103107948,343.117,3 hours 40 mins,3 hours 40 mins,219.9
58,7.0,32.332685,-95.271942,10.0,32.027118276455134,-102.08244084375302,701.111,6 hours 24 mins,6 hours 24 mins,383.8
59,7.0,32.332685,-95.271942,11.0,32.396858061746585,-99.76444396654499,465.527,4 hours 20 mins,4 hours 20 mins,259.56666666666666
60,8.0,27.779742027986497,-97.42065149668173,9.0,30.516177455463207,-97.68930103107948,378.618,3 hours 31 mins,3 hours 31 mins,210.83333333333334
61,8.0,27.779742027986497,-97.42065149668173,10.0,32.027118276455134,-102.08244084375302,757.496,6 hours 59 mins,6 hours 59 mins,418.95
62,8.0,27.779742027986497,-97.42065149668173,11.0,32.396858061746585,-99.76444396654499,622.436,5 hours 53 mins,5 hours 53 mins,353.48333333333335
63,9.0,30.516177455463207,-97.68930103107948,10.0,32.027118276455134,-102.08244084375302,509.12,5 hours 12 mins,5 hours 12 mins,312.48333333333335
64,9.0,30.516177455463207,-97.68930103107948,11.0,32.396858061746585,-99.76444396654499,332.582,3 hours 26 mins,3 hours 26 mins,205.93333333333334
65,10.0,32.027118276455134,-102.08244084375302,11.0,32.396858061746585,-99.76444396654499,243.0,2 hours 14 mins,2 hours 14 mins,134.18333333333334
