,Supplier Node,S Latitude,S Longitude,Cluster Node,C Latitude,C Longitude,Travel Distance,Travel Duration (hours),Travel Duration (min)
0,0.0,26.159654800000002,-98.276865,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
1,0.0,26.159654800000002,-98.276865,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
2,0.0,26.159654800000002,-98.276865,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
3,0.0,26.159654800000002,-98.276865,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
4,0.0,26.159654800000002,-98.276865,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
5,0.0,26.159654800000002,-98.276865,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
6,0.0,26.159654800000002,-98.276865,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
7,0.0,26.159654800000002,-98.276865,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
8,0.0,26.159654800000002,-98.276865,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
9,0.0,26.159654800000002,-98.276865,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
10,0.0,26.159654800000002,-98.276865,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
11,0.0,26.159654800000002,-98.276865,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
12,1.0,29.7717453,-95.38657909999999,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
13,1.0,29.7717453,-95.38657909999999,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
14,1.0,29.7717453,-95.38657909999999,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
15,1.0,29.7717453,-95.38657909999999,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
16,1.0,29.7717453,-95.38657909999999,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
17,1.0,29.7717453,-95.38657909999999,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
18,1.0,29.7717453,-95.38657909999999,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
19,1.0,29.7717453,-95.38657909999999,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
20,1.0,29.7717453,-95.38657909999999,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
21,1.0,29.7717453,-95.38657909999999,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
22,1.0,29.7717453,-95.38657909999999,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
23,1.0,29.7717453,-95.38657909999999,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
24,2.0,32.623905699999995,-97.3125429,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
25,2.0,32.623905699999995,-97.3125429,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
26,2.0,32.623905699999995,-97.3125429,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
27,2.0,32.623905699999995,-97.3125429,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
28,2.0,32.623905699999995,-97.3125429,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
29,2.0,32.623905699999995,-97.3125429,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
30,2.0,32.623905699999995,-97.3125429,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
31,2.0,32.623905699999995,-97.3125429,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
32,2.0,32.623905699999995,-97.3125429,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
33,2.0,32.623905699999995,-97.3125429,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
34,2.0,32.623905699999995,-97.3125429,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
35,2.0,32.623905699999995,-97.3125429,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
36,3.0,29.787893,-95.45097559999999,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
37,3.0,29.787893,-95.45097559999999,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
38,3.0,29.787893,-95.45097559999999,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
39,3.0,29.787893,-95.45097559999999,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
40,3.0,29.787893,-95.45097559999999,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
41,3.0,29.787893,-95.45097559999999,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
42,3.0,29.787893,-95.45097559999999,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
43,3.0,29.787893,-95.45097559999999,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
44,3.0,29.787893,-95.45097559999999,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
45,3.0,29.787893,-95.45097559999999,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
46,3.0,29.787893,-95.45097559999999,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
47,3.0,29.787893,-95.45097559999999,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
48,4.0,32.8098169,-96.8793517,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
49,4.0,32.8098169,-96.8793517,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
50,4.0,32.8098169,-96.8793517,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
51,4.0,32.8098169,-96.8793517,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
52,4.0,32.8098169,-96.8793517,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
53,4.0,32.8098169,-96.8793517,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
54,4.0,32.8098169,-96.8793517,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
55,4.0,32.8098169,-96.8793517,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
56,4.0,32.8098169,-96.8793517,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
57,4.0,32.8098169,-96.8793517,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
58,4.0,32.8098169,-96.8793517,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
59,4.0,32.8098169,-96.8793517,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
60,5.0,29.4432076,-98.4180463,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
61,5.0,29.4432076,-98.4180463,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
62,5.0,29.4432076,-98.4180463,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
63,5.0,29.4432076,-98.4180463,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
64,5.0,29.4432076,-98.4180463,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
65,5.0,29.4432076,-98.4180463,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
66,5.0,29.4432076,-98.4180463,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
67,5.0,29.4432076,-98.4180463,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
68,5.0,29.4432076,-98.4180463,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
69,5.0,29.4432076,-98.4180463,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
70,5.0,29.4432076,-98.4180463,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
71,5.0,29.4432076,-98.4180463,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
72,6.0,26.147237399999998,-98.274905,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
73,6.0,26.147237399999998,-98.274905,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
74,6.0,26.147237399999998,-98.274905,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
75,6.0,26.147237399999998,-98.274905,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
76,6.0,26.147237399999998,-98.274905,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
77,6.0,26.147237399999998,-98.274905,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
78,6.0,26.147237399999998,-98.274905,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
79,6.0,26.147237399999998,-98.274905,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
80,6.0,26.147237399999998,-98.274905,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
81,6.0,26.147237399999998,-98.274905,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
82,6.0,26.147237399999998,-98.274905,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
83,6.0,26.147237399999998,-98.274905,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
84,7.0,35.4219366,-97.5671209,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
85,7.0,35.4219366,-97.5671209,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
86,7.0,35.4219366,-97.5671209,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
87,7.0,35.4219366,-97.5671209,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
88,7.0,35.4219366,-97.5671209,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
89,7.0,35.4219366,-97.5671209,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
90,7.0,35.4219366,-97.5671209,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
91,7.0,35.4219366,-97.5671209,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
92,7.0,35.4219366,-97.5671209,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
93,7.0,35.4219366,-97.5671209,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
94,7.0,35.4219366,-97.5671209,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
95,7.0,35.4219366,-97.5671209,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
96,8.0,31.7577978,-106.47351850000001,0.0,29.508894374132208,-98.4996922777378,881.51,7 hours 43 mins,463.0
97,8.0,31.7577978,-106.47351850000001,1.0,29.79082550352515,-95.41019179432881,1196.247,10 hours 36 mins,635.9833333333333
98,8.0,31.7577978,-106.47351850000001,2.0,32.831894691486745,-96.99418974431894,1007.868,8 hours 58 mins,537.6166666666667
99,8.0,31.7577978,-106.47351850000001,3.0,31.77175939649847,-106.337967556246,17.464,16 mins,16.0
100,8.0,31.7577978,-106.47351850000001,4.0,33.594407000000004,-101.870871,556.388,5 hours 26 mins,325.81666666666666
101,8.0,31.7577978,-106.47351850000001,5.0,27.517706,-99.503801,970.744,9 hours 14 mins,553.8833333333333
102,8.0,31.7577978,-106.47351850000001,6.0,26.192287175485774,-98.13502520451428,1270.434,11 hours 12 mins,672.35
103,8.0,31.7577978,-106.47351850000001,7.0,32.332685,-95.271942,1187.532,10 hours 39 mins,638.65
104,8.0,31.7577978,-106.47351850000001,8.0,27.779742027986497,-97.42065149668173,1118.658,9 hours 47 mins,586.9
105,8.0,31.7577978,-106.47351850000001,9.0,30.516177455463207,-97.68930103107948,941.039,8 hours 40 mins,520.0166666666667
106,8.0,31.7577978,-106.47351850000001,10.0,32.027118276455134,-102.08244084375302,494.226,4 hours 32 mins,272.06666666666666
107,8.0,31.7577978,-106.47351850000001,11.0,32.396858061746585,-99.76444396654499,729.901,6 hours 31 mins,390.73333333333335
